Recordar,seleccionMulti,¿Cuál es la capital de Francia?,París,1 minuto
Recordar,seleccionMulti,¿Cuál es el número atómico del hidrógeno?,1,2 minutos
Recordar,seleccionMulti,¿Quién fue el primer presidente de los Estados Unidos?,George Washington,1 minuto
Recordar,seleccionMulti,¿Cuál es el nombre del proceso por el cual las plantas convierten la energía solar en energía química?,fotosíntesis,1 minuto
Recordar,seleccionMulti,¿Qué día se celebra el Día de Acción de Gracias en los Estados Unidos?,cuarto jueves de noviembre,2 minutos
Recordar,seleccionMulti,¿Cual es la fórmula química del agua?,H2O,1 minuto
Recordar,desarrollo,¿En qué año se produjo la Revolución Francesa?,1789,2 minuto
Recordar,desarrollo,¿Cuál es el nombre de la primera ley de Newton?,ley de inercia,2 minuto
Recordar,seleccionMulti,¿Qué país es el hogar de la Gran Muralla China?,China,1 minuto
Recordar,desarrollo,¿Cuál es el nombre de la primera mujer en ganar el Premio Nobel de la Paz?,Bertha von Suttner en 1905,2 minuto
Entender,desarrollo,¿Cómo se define la ley de la oferta y la demanda?,teoría económica que establece que el precio de un bien o servicio se determina por la interacción entre la oferta y la demanda del mismo,2 minuto
Entender,desarrollo,¿Cuál es la diferencia entre una célula animal y una célula vegetal?,Las células vegetales tienen una pared celular y cloroplastos las animales no,3 minuto
Entender,desarrollo,¿Qué es el calentamiento global y cómo afecta al planeta?,fenómeno causado por el aumento de la temperatura de la Tierra debido a la acumulación de gases de efecto invernadero en la atmósfera,3 minuto
Entender,desarrollo,¿Qué son las enzimas y cuál es su función en los procesos biológicos?,proteínas que actúan como catalizadores en los procesos biológicos acelaran las funciones quimicas dentro del cuerpo,4 minuto
Entender,desarrollo,¿Cómo se produce la fotosíntesis en las plantas y cuál es su importancia?,proceso por el cual las plantas convierten la energía solar en energía química permite que las plantas produzcan su propio alimento y liberen oxígeno al ambiente,3 minuto
Entender,desarrollo,¿Cómo funciona el sistema nervioso humano y qué papel desempeña en la regulación del cuerpo?,compuesto por el cerebro la médula espinal y los nervios que se extienden por todo el cuerpo su función principal es recibir información sensorial del ambiente procesarla y enviar señales motoras al cuerpo para que responda adecuadamente,4 minuto
Entender,desarrollo,¿Cómo funciona el sistema de inmunidad en el cuerpo humano?,sistema complejo que se encarga de proteger al cuerpo de enfermedades y agentes patógenos,2 minuto
Entender,desarrollo,¿Qué son los alimentos transgénicos y cuáles son sus beneficios y riesgos?,aquellos que han sido modificados genéticamente para mejorar su resistencia a enfermedades aumentar su rendimiento o mejorar su calidad nutricional beneficios incluyen una mayor producción de alimentos y una mayor resistencia a las enfermedades también hay preocupaciones sobre los posibles efectos negativos para la salud y el medio ambiente,5 minuto
Entender,desarrollo,¿Cuáles son las principales diferencias entre el ADN y el ARN?,ADN es una molécula de doble cadena que se encuentra en el núcleo de las células y contiene la información genética de un organismo ARN es una molécula de cadena sencilla que se produce a partir del ADN,5 minuto
Aplicar,desarrollo,¿Cómo se puede utilizar la tecnología de la información para mejorar la eficiencia en el lugar de trabajo?,mejorar la eficiencia en el lugar de trabajo a través de la automatización de tareas el uso de herramientas colaborativas y la implementación de sistemas de gestión de proyectos,4 minuto
Aplicar,desarrollo,¿Cuáles son las mejores prácticas para la gestión de proyectos?,definición clara de los objetivos y los resultados esperados la asignación de roles y responsabilidades a identificación y gestión de riesgos la planificación y seguimiento de los hitos del proyecto y la comunicación efectiva con el equipo y los stakeholders,6 minuto
